region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
Baleares,12:00del13/04/2019,ALCUDIAI,51,110ug/m3,9.3ug/m3,2.9ug/m3,,21.5ug/m3,
Baleares,13:00del13/04/2019,CIUTADELLADEMENORCA,54,111ug/m3,3ug/m3,,,20.75ug/m3,
Baleares,12:00del13/04/2019,CANMISSES,80,127ug/m3,5.5ug/m3,3.6ug/m3,,23.03ug/m3,
Baleares,12:00del13/04/2019,DALTVILA,77,125ug/m3,3.3ug/m3,4.4ug/m3,,,
Baleares,13:00del13/04/2019,MENUT,71,122ug/m3,,,,,
Baleares,13:00del13/04/2019,MAHÓN,61,116.83ug/m3,2.73ug/m3,0.53ug/m3,,,
Baleares,12:00del13/04/2019,POUS,44,93ug/m3,8.2ug/m3,0.9ug/m3,,20.25ug/m3,
Baleares,12:00del03/01/2019,SANTLLUIS,--,,,,,,
Baleares,-,BELLVER,--,,,,,,
Baleares,13:00del13/04/2019,FONERS,47,101ug/m3,16ug/m3,2ug/m3,,27.5ug/m3,400ug/m3
Baleares,12:00del13/04/2019,SANTJOANDEDÉU,51,110ug/m3,5.1ug/m3,1.3ug/m3,,32.5ug/m3,
Baleares,12:00del13/04/2019,UIB-PARCBIT,44,93ug/m3,23ug/m3,1.6ug/m3,,,
Baleares,12:00del13/04/2019,CANLLOMPART,80,128ug/m3,5.6ug/m3,1.5ug/m3,,11.58ug/m3,
Baleares,12:00del13/04/2019,HOSPITALJOANMARCH,50,107ug/m3,11ug/m3,2.9ug/m3,,,
Baleares,12:00del13/04/2019,S'ALBUFERA,71,121ug/m3,3.8ug/m3,2ug/m3,,,
Baleares,12:00del13/04/2019,SAPOBLA,58,113ug/m3,4.8ug/m3,1.6ug/m3,,17.41ug/m3,
Baleares,13:00del13/04/2019,SANTANTONIDEPORTMANY,71,121ug/m3,3ug/m3,,,13.25ug/m3,
Baleares,12:00del13/04/2019,TORRENT-SANTAEULALIA,71,122ug/m3,5ug/m3,4.6ug/m3,,15.69ug/m3,
Barcelona,13:00del13/04/2019,Badalona(Mont-roig-AusiàsMarch),49,105ug/m3,13ug/m3,5ug/m3,,,
Barcelona,14:00del13/04/2019,BarberàdelVallès(Moragues-Montserrat),15,,30ug/m3,,,,
Barcelona,13:00del13/04/2019,Barcelona(Ciutadella),40,85ug/m3,14ug/m3,,,,
Barcelona,14:00del13/04/2019,Barcelona(elPoblenou),12,,25ug/m3,,,,
Barcelona,13:00del13/04/2019,Barcelona(Gràcia-SantGervasi),31,65ug/m3,35ug/m3,2ug/m3,,,400ug/m3
Barcelona,14:00del13/04/2019,Barcelona(l'Eixample),34,53ug/m3,67ug/m3,9ug/m3,,,300ug/m3
Barcelona,13:00del13/04/2019,Barcelona(parcdelaValld'Hebron),39,83ug/m3,30ug/m3,2ug/m3,,,300ug/m3
Barcelona,14:00del13/04/2019,Barcelona(Sants),23,,45ug/m3,,,,
Barcelona,13:00del13/04/2019,Berga(poliesportiu),44,96ug/m3,10ug/m3,2ug/m3,,,
Barcelona,14:00del13/04/2019,CastelletilaGornal(Clariana),6,,12ug/m3,2ug/m3,,,
Barcelona,14:00del13/04/2019,Cubelles(poliesportiu),2,,3ug/m3,1ug/m3,,,
Barcelona,12:00del13/04/2019,ElPratdeLlobregat(CEMSagnier),40,86ug/m3,20ug/m3,4ug/m3,,,200ug/m3
Barcelona,13:00del13/04/2019,elPratdeLlobregat(jardinsdelapau),13,,27ug/m3,5ug/m3,,,
Barcelona,12:00del13/04/2019,Gavà(parcdelMil·leni),46,100ug/m3,18ug/m3,3ug/m3,,,300ug/m3
Barcelona,13:00del13/04/2019,Granollers(FrancescMacià),48,104ug/m3,20ug/m3,,,26.75ug/m3,
Barcelona,-,Igualada(laMasuca),--,,,,,,
Barcelona,14:00del13/04/2019,l'HospitaletdeLlobregat(av.delTorrentGornal),20,,37ug/m3,,,21.63ug/m3,
Barcelona,14:00del13/04/2019,Manlleu(hospitalcomarcal),51,110ug/m3,9ug/m3,1ug/m3,,,
Barcelona,13:00del13/04/2019,Martorell(Canyameres-Claret),8,,15ug/m3,,,,
Barcelona,13:00del13/04/2019,Mataró(passeigdelsMolins),54,112ug/m3,10ug/m3,3ug/m3,,,200ug/m3
Barcelona,14:00del13/04/2019,MolletdelVallès(pistad'atletisme),5,,9ug/m3,,,,
Barcelona,14:00del13/04/2019,MontcadaiReixac(pl.deLluísCompanys),46,100ug/m3,21ug/m3,1ug/m3,,,300ug/m3
Barcelona,13:00del13/04/2019,Montseny(laCastanya),46,100ug/m3,5ug/m3,2ug/m3,,,100ug/m3
Barcelona,12:00del13/04/2019,Pallejà(RocadeVilana),13,,26ug/m3,4ug/m3,,,
Barcelona,13:00del13/04/2019,Rubí(can'Oriol),51,109ug/m3,6ug/m3,3ug/m3,,16.5ug/m3,300ug/m3
Barcelona,14:00del13/04/2019,Sabadell(GranVia),44,95ug/m3,28ug/m3,,,,
Barcelona,12:00del01/02/2019,SantFeliudeLlobregat(CEIPMartíiPol),--,,,,,,
Barcelona,14:00del13/04/2019,SantAdriàdeBesòs(Olímpic),45,97ug/m3,17ug/m3,,,24ug/m3,
Barcelona,14:00del13/04/2019,SantAndreudelaBarca(CEIPJosepPla),21,,41ug/m3,,,,
Barcelona,13:00del13/04/2019,SantCeloni(CarlesDamm),49,106ug/m3,10ug/m3,1ug/m3,,18.75ug/m3,
Barcelona,13:00del13/04/2019,SantCugatdelVallès(parcdeSantFrancesc),44,95ug/m3,11ug/m3,,,,
Barcelona,16:00del12/04/2019,SantVicençdelsHorts(Àlaba),8,,17ug/m3,2ug/m3,,,
Barcelona,14:00del13/04/2019,SantVicençdelsHorts(Ribot-SantMiquel),38,81ug/m3,22ug/m3,3ug/m3,,21.75ug/m3,
Barcelona,13:00del13/04/2019,SantaColomadeGramenet(Balldovina),6,,12ug/m3,,,,
Barcelona,13:00del13/04/2019,SantaMargaridaielsMonjos(laRàpita),4,,7ug/m3,,,,
